lcdb2_name,lcdb1_name,gen_veg,wetland,minor_clsa,minor_clsb,minor_clsc,uncertain1,uncertain2,comments,class_cor,bound_cor,wetld_cor,field_com,photo_1,photo1_id,photo_east1,photo_nth1,photo_2,photo2_id,photo_east2,photo_nth2,district,id
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Manuka and or Kanuka,,,,,,,,,,,,,,,,,Waitomo,7564
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Indigenous Forest,Manuka and or Kanuka,,,,,,,,,,,,,,,,,Waitomo,7565
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Indigenous Forest,,,,,,,,,,,,,,,,,Waitomo,7651
Fernland,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7652
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Fernland,,,,,,,,,,,,,,,,,Waitomo,7653
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,,,,,,,,,,,,,,,,,,Waitomo,7718
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Indigenous Forest,Manuka and or Kanuka,,,,,,,,,,,,,,,,,Waitomo,7719
Pine Forest - Open Canopy,Planted Forest,Predominantly Exotic,,,,,,,,,,,,,,,,,,,,Waitomo,7720
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Indigenous Forest,Manuka and or Kanuka,,,,,,,,,,,,,,,,,Waitomo,7721
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Manuka and or Kanuka,,,,,,,,,,,,,,,,,Waitomo,7722
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7475
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,Indigenous Forest,,,,,,,,,,,,,,,,,,Waitomo,7476
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,,,,,,,,,,,,,,,,,,,Waitomo,7477
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Fernland,Mixed Exotic Shrubland,,,,,,,,,,,,,,,,Waitomo,7566
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,,Waitomo,7567
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Indigenous Forest,Fernland,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,Waitomo,7568
Fernland,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7654
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Fernland,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7655
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Fernland,Manuka and or Kanuka,,,,,,,,,,,,,,,,,Waitomo,7656
Fernland,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Indigenous Forest,Broadleaved Indigenous Hardwoods,,,photo is not the best for seeing boundaries,,,,,,,,,,,,,Waitomo,7657
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,,Waitomo,7658
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Manuka and or Kanuka,,,,,,,,,,,,,,,,,Waitomo,7723
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Indigenous Forest,,,,,,,,,,,,,,,,,Waitomo,7724
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7725
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Indigenous Forest,Broadleaved Indigenous Hardwoods,Pine Forest - Closed Canopy,,,,,,,,,,,,,,,,Waitomo,7726
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,,,,,,,,,,,,,,,,,,,Waitomo,7727
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,Indigenous Forest,,,,,,,,,,,,,,,,,,Waitomo,7478
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,,Waitomo,7479
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,,Waitomo,7480
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Pine Forest - Closed Canopy,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7481
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,,,,,,,,,,,,,,,,,,,Waitomo,7482
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Manuka and or Kanuka,,,,,,,,,,,,,,,,,Waitomo,7483
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,Fernland,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,Waitomo,7569
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Mixed Exotic Shrubland,,,,,,,,,,,,,,,,,,Waitomo,7570
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,,,,,,,,,,,,,,,,,,,Waitomo,7571
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7572
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7573
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7574
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7575
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7576
Fernland,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,photo is not the best for seeing boundaries,,,,,,,,,,,,,Waitomo,7659
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Fernland,Broadleaved Indigenous Hardwoods,,,,photo is not the best for seeing boundaries,,,,,,,,,,,,,Waitomo,7660
Fernland,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,photo is not the best for seeing boundaries,,,,,,,,,,,,,Waitomo,7661
Fernland,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,,Waitomo,7662
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7728
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Indigenous Forest,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7729
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,very hard to see blocks of BIH and M and Kanuka seems to be pretty much a mosaic,,,,,,,,,,,,,Waitomo,7730
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Mixed Exotic Shrubland,Indigenous Forest,,,,,,,,,,,,,,,,Waitomo,7731
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,,Waitomo,7732
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Fernland,,,,,,,,,,,,,,,,,Waitomo,7733
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Fernland,Indigenous Forest,,,,,,,,,,,,,,,,Waitomo,7734
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Indigenous Forest,,,,,,,,,,,,,,,,,Waitomo,7484
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Mixed Exotic Shrubland,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7485
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,Mixed Exotic Shrubland,,,,,,,,,,,,,,,,Waitomo,7486
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Indigenous Forest,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7487
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Indigenous Forest,,,,,,,,,,,,,,,,,Waitomo,7488
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Indigenous Forest,Broadleaved Indigenous Hardwoods,Mixed Exotic Shrubland,,,,,,,,,,,,,,,,Waitomo,7577
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,,,,,,,,,,,,,,,,,,,Waitomo,7578
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,,,,,,,,,,,,,,,,,,,Waitomo,7579
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Mixed Exotic Shrubland,,,,,,,,,,,,,,,,,Waitomo,7580
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,,Waitomo,7581
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Manuka and or Kanuka,,,,,,,,,,,,,,,,,Waitomo,7582
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Indigenous Forest,Manuka and or Kanuka,,,,,,,,,,,,,,,,,Waitomo,7583
Herbaceous Freshwater Vegetation,Inland Wetland,Mixed Indigenous and Exotic,true,Deciduous Hardwoods,,,,,,,,,,,,,,,,,,Waitomo,7584
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7585
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,,Waitomo,7663
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Fernland,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7664
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Fernland,,,,,Yes,Yes,,,\\ew\gis_store\GISWork\GIS_Jobs\requests_16500_16999\16807_Waitomo_Bioveg_Checking_DerekGP\Photos\IMGP0477.JPG,,1746517,5722568,,,,,Waitomo,7665
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,,,,,,,,,,,,,,,,,,,Waitomo,7666
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Fernland,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7667
Fernland,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7735
Fernland,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7736
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Manuka and or Kanuka,,,,,,,,,,,,,,,,,Waitomo,7737
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Indigenous Forest,,,,,,,,,,,,,,,,,Waitomo,7489
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Indigenous Forest,,,,,,,,,,,,,,,,,Waitomo,7490
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,,Waitomo,7491
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Indigenous Forest,Broadleaved Indigenous Hardwoods,Mixed Exotic Shrubland,,,,,,,,,,,,,,,,Waitomo,7492
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7493
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,,,,,,,,,,,,,,,,,,,Waitomo,7494
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,,,,,,,,,,,,,,,,,,Waitomo,7495
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,,,,,,,,,,,,,,,,,,Waitomo,7496
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Indigenous Forest,,,,,,,,,,,,,,,,,Waitomo,7497
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,,,,,,,,,,,,,,,,,,,Waitomo,7586
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Indigenous Forest,,,,,,,,,,,,,,,,,,Waitomo,7587
Mixed Exotic Shrubland,Shrubland,Predominantly Exotic,,Deciduous Hardwoods,,,,,,,,,,,,,,,,,,Waitomo,7588
Mixed Exotic Shrubland,Shrubland,Predominantly Exotic,,Deciduous Hardwoods,,,,,,,,,,,,,,,,,,Waitomo,7589
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Indigenous Forest,,,,,,,,,,,,,,,,,,Waitomo,7590
Fernland,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,,,,,,,,,,,,,,,,,,Waitomo,7668
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Fernland,,,,,,,,,,,,,,,,,Waitomo,7669
Fernland,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Manuka and or Kanuka,,,,,,,,,,,,,,,,,Waitomo,7670
Fernland,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7671
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Indigenous Forest,,,,,,,,,,,,,,,,,Waitomo,7672
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Indigenous Forest,,,,,,,,,,,,,,,,,,Waitomo,7738
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Indigenous Forest,Manuka and or Kanuka,,,,,Can not see,Can not see,Can not see,,,,,,,,,,Waitomo,7739
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Indigenous Forest,,,,,,,,,,,,,,,,,,Waitomo,7740
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Indigenous Forest,,,,,,,,,,,,,,,,,Waitomo,7741
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7742
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,Broadleaved Indigenous Hardwoods,Indigenous Forest,,,,,,,,,,,,,,,,,Waitomo,7743
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Fernland,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7498
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Fernland,Indigenous Forest,,,,,,,,,,,,,,,,Waitomo,7499
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7500
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,,,,,,,,,,,,,,,,,,Waitomo,7501
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,,,,,,,,,,,,,,,,,,,Waitomo,7502
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,,,,,,,,,,,,,,,,,,,Waitomo,7503
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Mixed Exotic Shrubland,,,,,,,,,,,,,,,,,Waitomo,7504
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Indigenous Forest,,,,,,,,,,,,,,,,,Waitomo,7505
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,,Waitomo,7591
Fernland,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Manuka and or Kanuka,,,,,,,,,,,,,,,,,Waitomo,7592
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Indigenous Forest,Broadleaved Indigenous Hardwoods,Fernland,,,,,,,,,,,,,,,,Waitomo,7593
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Indigenous Forest,Broadleaved Indigenous Hardwoods,Fernland,,,,,,,,,,,,,,,,Waitomo,7594
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Indigenous Forest,Fernland,,,,,,,,,,,,,,,,Waitomo,7595
Deciduous Hardwoods,Exotic Hardwoods,Predominantly Exotic,,,,,,,,,,,,,,,,,,,,Waitomo,7673
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Indigenous Forest,,,,,,,,,,,,,,,,,Waitomo,7674
Pine Forest - Open Canopy,Planted Forest,Predominantly Exotic,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,,Waitomo,7675
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Indigenous Forest,Manuka and or Kanuka,,,,,,,,,,,,,,,,,Waitomo,7676
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,Pine Forest - Open Canopy,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7677
Pine Forest - Open Canopy,Planted Forest,Predominantly Exotic,,Gorse and Broom,,,,,,,,,,,,,,,,,,Waitomo,7678
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Indigenous Forest,,,,,,,,,,,,,,,,,Waitomo,7744
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,,Waitomo,7745
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,,,,,,,,,,,,,,,,,,,Waitomo,7746
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,,,,,,,,,,,,,,,,,,Waitomo,7747
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,,Waitomo,7748
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,Fernland,,,,,,,,,,,,,,,,Waitomo,7749
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,,,,,,,,,,,,,,,,,,,Waitomo,7506
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,Mixed Exotic Shrubland,,,,,,,,,,,,,,,,,Waitomo,7507
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,,Waitomo,7508
Gorse and Broom,Shrubland,Predominantly Exotic,,Broadleaved Indigenous Hardwoods,Mixed Exotic Shrubland,,,,,,,,,,,,,,,,,Waitomo,7509
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Gorse and Broom,Mixed Exotic Shrubland,Indigenous Forest,,,,,,,,,,,,,,,,Waitomo,7510
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Indigenous Forest,Fernland,,,,,,,,,,,,,,,,Waitomo,7596
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Mixed Exotic Shrubland,,,,,,,,,,,,,,,,,,Waitomo,7597
Mixed Exotic Shrubland,Shrubland,Predominantly Exotic,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,,Waitomo,7598
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Mixed Exotic Shrubland,Manuka and or Kanuka,,,,,,,,,,,,,,,,,Waitomo,7599
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Indigenous Forest,Mixed Exotic Shrubland,,,,,,,,,,,,,,,,Waitomo,7600
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,,Waitomo,7679
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,,,,,,,,,,,,,,,,,,,Waitomo,7680
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Mixed Exotic Shrubland,,,,,,,,,,,,,,,,,Waitomo,7681
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,,Waitomo,7682
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Indigenous Forest,Manuka and or Kanuka,,,,,Yes,Uncertain,,,\\ew\gis_store\GISWork\GIS_Jobs\requests_16500_16999\16807_Waitomo_Bioveg_Checking_DerekGP\Photos\IMGP0460.JPG,,1750595,5721009,,,,,Waitomo,7683
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,Broadleaved Indigenous Hardwoods,Indigenous Forest,,,,,,,,,,,,,,,,,Waitomo,7684
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,,,,,,,,,,,,,,,,,,,Waitomo,7685
Fernland,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7686
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Indigenous Forest,Broadleaved Indigenous Hardwoods,Fernland,,,,,,,,,,,,,,,,Waitomo,7750
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Manuka and or Kanuka,,,,,,,,,,,,,,,,,Waitomo,7751
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Indigenous Forest,,,,,,,,,,,,,,,,,Waitomo,7752
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,,,,,,,,,,,,,,,,,,Waitomo,7753
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,,Waitomo,7754
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Indigenous Forest,Mixed Exotic Shrubland,Gorse and Broom,,,,,,,,,,,,,,,,Waitomo,7511
Gorse and Broom,Shrubland,Predominantly Exotic,,Broadleaved Indigenous Hardwoods,Mixed Exotic Shrubland,,,,,,,,,,,,,,,,,Waitomo,7512
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Indigenous Forest,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7513
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Indigenous Forest,,,,,,,,,,,,,,,,,,Waitomo,7514
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Manuka and or Kanuka,,,,,,,,,,,,,,,,,Waitomo,7601
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Mixed Exotic Shrubland,Indigenous Forest,,,,,,,,,,,,,,,,Waitomo,7602
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7603
Pine Forest - Closed Canopy,Planted Forest,Predominantly Exotic,,,,,,,,,,,,,,,,,,,,Waitomo,7604
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Fernland,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7687
Fernland,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7688
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Fernland,Manuka and or Kanuka,,,,,,,,,,,,,,,,,Waitomo,7689
Fernland,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,Waitomo,7690
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Indigenous Forest,,,,,,,,,,,,,,,,,Waitomo,7691
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,,,,,,,,,,,,,,,,,,Waitomo,7755
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,,Waitomo,7756
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,,,,,,,,,,,,,,,,,,Waitomo,7757
Fernland,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,Indigenous Forest,,,,,,,,,,,,,,,,Waitomo,7758
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Indigenous Forest,Fernland,,,,,,,,,,,,,,,,,Waitomo,7759
Fernland,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Indigenous Forest,Mixed Exotic Shrubland,,,,,,,,,,,,,,,,Waitomo,7515
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,Fernland,,,,,,,,,,,,,,,,Waitomo,7516
Indigenous Forest,Indigenous Forest,Predominantly Indigenous,,Manuka and or Kanuka,Broadleaved Indigenous Hardwoods,Fernland,,,,,,,,,,,,,,,,Waitomo,7517
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Indigenous Forest,Fernland,,,,,,,,,,,,,,,,Waitomo,7518
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,Mixed Exotic Shrubland,,,,,,,,,,,,,,,,,Waitomo,7605
Pine Forest - Open Canopy,Planted Forest,Predominantly Exotic,,,,,,,,,,,,,,,,,,,,Waitomo,7606
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Fernland,,,,,,,,,,,,,,,,,Waitomo,7607
Manuka and or Kanuka,Shrubland,Predominantly Indigenous,,Broadleaved Indigenous Hardwoods,,,,,,,,,,,,,,,,,,Waitomo,7608
Broadleaved Indigenous Hardwoods,Shrubland,Predominantly Indigenous,,Manuka and or Kanuka,Fernland,,,,,,,,,,,,,,,,,Waitomo,7609
